set nodes := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 ;

param start_node := 0 ;

param end_node := 49 ;

param max_capacity := 57.5 ;

param min_capacity := 2.875 ;

param start_capacity := 57.5 ;

param car_efficiency := 0.1513157894736842 ;

param max_charge_time := 0.75 ;

param min_charge_time := 0.25 ;

param charger_power :=
0 0
1 11.0
2 50.0
3 11.0
4 50.0
5 11.0
6 11.0
7 11.0
8 11.0
9 11.0
10 11.0
11 11.0
12 50.0
13 11.0
14 11.0
15 11.0
16 11.0
17 11.0
18 11.0
19 95.0
20 22.0
21 11.0
22 11.0
23 11.0
24 11.0
25 11.0
26 11.0
27 95.0
28 50.0
29 50.0
30 50.0
31 50.0
32 50.0
33 11.0
34 50.0
35 95.0
36 11.0
37 50.0
38 11.0
39 40.0
40 50.0
41 11.0
42 95.0
43 11.0
44 11.0
45 50.0
46 11.0
47 7.0
48 40.0
49 0
;

param arc_time :=
0 0 -1
0 1 1.195
0 2 1.195
0 3 0.09333333333333332
0 4 0.21
0 5 1.1722216666666665
0 6 1.2627783333333333
0 7 0.371945
0 8 1.2536116666666668
0 9 1.2886116666666667
0 10 2.243333333333333
0 11 1.2363883333333334
0 12 1.2022216666666667
0 13 -1
0 14 0.1725
0 15 0.15277833333333335
0 16 0.1525
0 17 -1
0 18 1.7491666666666668
0 19 2.0191666666666666
0 20 0.5275
0 21 0.16222166666666665
0 22 0.1988883333333333
0 23 0.12361166666666666
0 24 0.10666666666666667
0 25 0.14666666666666667
0 26 0.078055
0 27 0.15916666666666668
0 28 0.320555
0 29 2.110555
0 30 2.137221666666667
0 31 2.0616666666666665
0 32 1.2108333333333334
0 33 -1
0 34 1.1916666666666667
0 35 -1
0 36 1.2075
0 37 1.1469449999999999
0 38 -1
0 39 1.2016666666666667
0 40 -1
0 41 -1
0 42 -1
0 43 0.7858333333333333
0 44 -1
0 45 -1
0 46 0.9002783333333333
0 47 2.086945
0 48 0.8036116666666667
0 49 -1
1 0 1.1738883333333334
1 1 -1
1 2 0.012221666666666665
1 3 1.109445
1 4 1.1944450000000002
1 5 0.22111166666666668
1 6 0.311945
1 7 1.0472216666666667
1 8 0.3025
1 9 0.3375
1 10 1.318055
1 11 0.28555499999999995
1 12 0.2511116666666667
1 13 2.2175000000000002
1 14 1.1569450000000001
1 15 1.2297216666666666
1 16 1.1916666666666667
1 17 -1
1 18 0.8236116666666666
1 19 1.0936116666666666
1 20 1.3144449999999999
1 21 1.2027783333333335
1 22 1.1902783333333333
1 23 1.2297216666666666
1 24 1.2408333333333335
1 25 1.2280550000000001
1 26 1.2113883333333333
1 27 1.190555
1 28 1.2947216666666668
1 29 1.1852783333333332
1 30 1.211945
1 31 1.1363883333333333
1 32 0.26
1 33 1.9322216666666667
1 34 0.240555
1 35 -1
1 36 0.25638833333333333
1 37 0.19583333333333333
1 38 -1
1 39 0.250555
1 40 -1
1 41 -1
1 42 -1
1 43 0.6475000000000001
1 44 -1
1 45 -1
1 46 0.5819449999999999
1 47 1.1616666666666666
1 48 0.5461116666666667
1 49 -1
2 0 1.2133333333333334
2 1 0.056945
2 2 -1
2 3 1.1488883333333333
2 4 1.2338883333333333
2 5 0.260555
2 6 0.35111166666666666
2 7 1.0866666666666667
2 8 0.341945
2 9 0.37694500000000003
2 10 1.3572216666666668
2 11 0.3247216666666667
2 12 0.290555
2 13 2.256666666666667
2 14 1.1963883333333334
2 15 1.2691666666666668
2 16 1.2311116666666666
2 17 -1
2 18 0.8630549999999999
2 19 1.133055
2 20 1.3538883333333334
2 21 1.2422216666666666
2 22 1.229445
2 23 1.2691666666666668
2 24 1.2802783333333332
2 25 1.2672216666666667
2 26 1.2508333333333332
2 27 1.2297216666666666
2 28 1.3338883333333333
2 29 1.224445
2 30 1.2511116666666666
2 31 1.175555
2 32 0.29916666666666664
2 33 1.9716666666666667
2 34 0.28
2 35 -1
2 36 0.29583333333333334
2 37 0.23527833333333334
2 38 -1
2 39 0.29
2 40 -1
2 41 -1
2 42 -1
2 43 0.686945
2 44 -1
2 45 -1
2 46 0.6213883333333333
2 47 1.2008333333333332
2 48 0.5855549999999999
2 49 -1
3 0 0.07
3 1 1.1247216666666666
3 2 1.125
3 3 -1
3 4 0.15027833333333335
3 5 1.101945
3 6 1.1927783333333333
3 7 0.301945
3 8 1.1833333333333333
3 9 1.2183333333333333
3 10 2.1730549999999997
3 11 1.1663883333333334
3 12 1.1319450000000002
3 13 -1
3 14 0.196945
3 15 0.18111166666666667
3 16 0.17888833333333334
3 17 -1
3 18 1.6788883333333333
3 19 1.9488883333333333
3 20 0.460555
3 21 0.13027833333333333
3 22 0.12527833333333332
